freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCA,SE22	15.5 	16.1 	12.8 	11.4 
A,CVA,LCA,SE23	11.1 	12 	9.9 	13.7 
A,CVA,LCA,SE3	7 	7 	6.7 	10 
A,CVA,LCA,SE31	11.5 	11.8 	10.1 	18.9 
A,CVA,LCA,SE32	15.1 	14.4 	13.7 	25.4 
A,CVA,LCA,SE33	11.1 	11.1 	11.4 	11.4 
A,CVA,LCA,SI	14.9 	12.3 	12.3 	6.8 
A,CVA,LCA,SI0	14.9 	12.3 	12.3 	6.8 
A,CVA,LCA,SI03	20.2 	16.7 	16.4 	12 
A,CVA,LCA,SI04	22.2 	18 	17.2 	16.9 
A,CVA,LCA,SK	8.2 	9.2 	8.2 	7.4 
A,CVA,LCA,SK0	8.2 	9.2 	8.2 	7.4 
A,CVA,LCA,SK01	29.4 	41.6 	29.6 	26 
A,CVA,LCA,SK02	13.2 	13.5 	12.4 	11.3 
A,CVA,LCA,SK03	18 	19.2 	17 	17.5 
A,CVA,LCA,SK04	14.3 	16.9 	15.7 	14.2 
A,CVA,LCA,UK	2.6 	2.6 	2.4 	2.5 
A,CVA,LCA,UKC	12.7 	12.4 	11.5 	10.1 
A,CVA,LCA,UKC1	18.3 	16.7 	15.7 	17.6 
A,CVA,LCA,UKC2	16.8 	18.3 	16.7 	10.7 
A,CVA,LCA,UKD	7.2 	7 	6.4 	6.8 
A,CVA,LCA,UKD1	23.1 	18.6 	17.7 	18.6 
A,CVA,LCA,UKD3	10.7 	10.2 	10.2 	11.5 
A,CVA,LCA,UKD4	14.3 	17.8 	15.1 	17.7 
A,CVA,LCA,UKD6	21.3 	23 	22.2 	15.3 
A,CVA,LCA,UKD7	14.1 	14.9 	11.8 	12.8 
A,CVA,LCA,UKE	8.5 	7.9 	7.3 	6.7 
A,CVA,LCA,UKE1	17.5 	17.6 	22.2 	12.5 
A,CVA,LCA,UKE2	18.5 	18 	15.8 	15.3 
A,CVA,LCA,UKE3	16.4 	14.5 	13.3 	13.4 
